,Lat,Lon,District,Small_district,Rooms,Price,Price_duplicate,Totsp,Livesp,Kitsp,Dist,Stname,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New,Link
2219,55.493793,37.299632,10,Троицк,1,4400000,4400000.0,38.9,,16.0,1938.95088427,Саларьево,10,0,1,1,1,14,17,0,http://www.cian.ru/sale/flat/147225361/
2220,55.753022,37.58888,0,Арбат,2,16800000,16800000.0,52.0,,35.0,21.853493105,Смоленская,10,1,1,1,0,18,22,0,http://www.cian.ru/sale/flat/142079333/
2221,55.708785,37.826754,4,Выхино-Жулебино,3,6999000,6999000.0,60.0,,44.1,363.234245942,Выхино,10,1,0,1,1,5,9,0,http://www.cian.ru/sale/flat/149938647/
2222,55.858544,37.412613,8,Северное Тушино,1,6400000,6400000.0,46.0,,21.0,812.586699168,Планерная,20,1,0,0,1,10,12,0,http://www.cian.ru/sale/flat/151560909/
2223,55.804951,37.719819,3,Преображенское,2,6600000,6600000.0,43.0,,27.0,385.400146124,Преображенская площадь,10,1,1,0,0,1,5,0,http://www.cian.ru/sale/flat/151540432/
2224,55.811765,37.648183,2,,1,9275200,9275200.0,52.7,,,439.336884709,Алексеевская,10,1,,0,1,1,15,1,http://www.cian.ru/sale/flat/50325883/
2225,55.896771,37.397907,8,Куркино,2,11580000,11580000.0,64.0,12.0,36.0,1121.27916111,Планерная,10,0,1,0,1,5,10,0,http://www.cian.ru/sale/flat/151499209/
2226,55.591543,37.671615,5,Бирюлёво Восточное,2,5950000,5950000.0,44.0,,29.0,1240.85320559,Царицыно,11,0,1,1,0,10,12,0,http://www.cian.ru/sale/flat/150640712/
2227,55.648291,37.520518,6,Коньково,1,6300000,6300000.0,33.0,,19.0,821.210867087,Беляево,6,1,0,1,1,3,12,0,http://www.cian.ru/sale/flat/150808716/
2228,55.75666,37.581379,0,Пресненский,2,16900000,16900000.0,59.0,,38.0,6.45339946581,Баррикадная,7,1,1,0,1,3,7,0,http://www.cian.ru/sale/flat/149873756/
2229,55.704509,37.792915,4,Кузьминки,1,4800000,4800000.0,30.0,5.5,17.0,395.949523843,Рязанский проспект,15,1,0,0,1,5,12,0,http://www.cian.ru/sale/flat/151235397/
2230,55.636011,37.742438,5,Братеево,1,6500000,6500000.0,38.0,,20.0,912.863406865,Борисово,3,0,0,1,1,12,17,0,http://www.cian.ru/sale/flat/151148621/
2231,55.621897,37.435412,9,,1,2295111,2295111.0,26.0,,20.0,1017.63568064,Саларьево,15,1,,0,0,1,3,0,http://www.cian.ru/sale/flat/151183397/
2232,55.94751,37.348743,1,Химки,1,4499000,4499000.0,37.0,,19.1,1535.78517864,,,,0,0,1,20,25,0,http://www.cian.ru/sale/flat/151231039/
2233,55.57668,37.481457,9,,2,5397200,5397200.0,41.2,9.3,21.6,1349.07689377,Бунинская аллея,14,0,,0,0,12,22,1,http://www.cian.ru/sale/flat/150600679/
2234,55.486265,37.303935,10,Троицк,1,3350000,3350000.0,35.1,12.0,17.0,1991.32863234,,,,0,0,0,15,16,0,http://www.cian.ru/sale/flat/151141424/
2235,55.645719,37.704716,4,,1,4224780,4224780.0,33.5,,22.7,840.444868964,Марьино,20,1,,0,0,2,6,1,http://www.cian.ru/sale/flat/150927246/
2236,55.566567,37.485637,9,поселение Сосенское,1,5650000,5650000.0,43.0,12.0,21.0,1422.30028442,,,,1,0,1,2,16,0,http://www.cian.ru/sale/flat/150584626/
2237,55.821502,37.716953,3,Богородское,1,6800000,6800000.0,39.0,10.0,20.0,516.604958788,Бульвар Рокоссовского,10,1,0,1,1,8,22,0,http://www.cian.ru/sale/flat/148308261/
2238,55.616661,37.745322,5,Зябликово,1,6600000,6600000.0,38.0,,18.0,1056.34735774,Красногвардейская,5,1,0,0,1,2,16,0,http://www.cian.ru/sale/flat/149418250/
2239,55.633622,37.681317,5,Царицыно,2,5700000,5700000.0,44.9,,29.5,930.640644626,Царицыно,26,1,0,0,1,4,12,0,http://www.cian.ru/sale/flat/151432462/
2240,55.688309,37.592267,6,Академический,2,6800000,6800000.0,43.4,,30.0,519.428652993,Академическая,10,1,1,1,1,4,5,0,http://www.cian.ru/sale/flat/151434417/
2241,55.872218,37.69595,2,Лосиноостровский,1,5500000,5500000.0,35.0,10.0,20.0,922.638723265,Бабушкинская,30,1,1,0,0,2,8,0,http://www.cian.ru/sale/flat/151005010/
2242,55.679991,37.68447,5,Нагатинский Затон,1,4900000,4900000.0,28.9,,14.0,582.540001917,Коломенская,14,1,1,0,0,2,9,0,http://www.cian.ru/sale/flat/150406827/
2243,55.710809,37.605023,5,,3,69950000,69950000.0,105.7,14.4,56.6,347.731089528,Шаболовская,5,1,,0,0,10,18,0,http://www.cian.ru/sale/flat/149517620/
2244,55.622233,37.306926,9,поселение Внуковское,1,5500000,5500000.0,40.0,10.0,17.0,1015.14859749,Тропарево,10,0,0,0,1,7,18,0,http://www.cian.ru/sale/flat/35593962/
